iter	Passed	Remaining
0	57	57558
1	57	28868
2	58	19302
3	58	14526
4	58	11651
5	58	9735
6	59	8369
7	59	7345
8	59	6547
9	59	5908
10	59	5385
11	60	4950
12	60	4580
13	60	4264
14	60	3989
15	60	3748
16	61	3537
17	61	3348
18	61	3179
19	61	3029
20	62	2891
21	62	2767
22	62	2655
23	62	2551
24	62	2455
25	63	2367
26	63	2285
27	63	2209
28	63	2137
29	64	2071
30	64	2009
31	64	1951
32	64	1896
33	64	1844
34	65	1796
35	65	1749
36	65	1706
37	65	1665
38	65	1626
39	66	1588
40	66	1553
41	66	1519
42	66	1487
43	67	1457
44	67	1428
45	67	1400
46	67	1373
47	67	1346
48	68	1323
49	68	1299
50	68	1277
51	68	1254
52	69	1233
53	69	1213
54	69	1193
55	69	1175
56	69	1156
57	70	1138
58	70	1121
59	70	1105
60	70	1089
61	70	1073
62	71	1058
63	71	1044
64	71	1030
65	71	1016
66	72	1003
67	72	990
68	72	977
69	72	965
70	72	953
71	73	941
72	73	930
73	73	919
74	73	908
75	73	898
76	74	888
77	74	878
78	74	868
79	74	858
80	74	849
81	75	840
82	75	830
83	75	821
84	75	813
85	75	805
86	75	797
87	76	789
88	76	781
89	76	774
90	76	767
91	77	760
92	77	752
93	77	746
94	77	739
95	77	732
96	78	726
97	78	719
98	78	713
99	78	707
100	78	701
101	79	695
102	79	690
103	79	684
104	79	678
105	79	673
106	80	667
107	80	662
108	80	657
109	80	652
110	80	647
111	80	642
112	81	637
113	81	632
114	81	627
115	81	623
116	81	618
117	82	613
118	82	609
119	82	605
120	82	600
121	82	596
122	83	592
123	83	588
124	83	584
125	83	580
126	83	576
127	84	572
128	84	569
129	84	565
130	84	561
131	84	558
132	85	554
133	85	551
134	85	547
135	85	544
136	85	541
137	86	537
138	86	534
139	86	531
140	86	527
141	86	524
142	86	521
143	87	518
144	87	515
145	87	512
146	87	509
147	87	506
148	88	503
149	88	500
150	88	497
151	88	494
152	88	492
153	89	489
154	89	486
155	89	484
156	89	481
157	89	478
158	90	476
159	90	473
160	90	470
161	90	468
162	90	465
163	90	463
164	91	461
165	91	458
166	91	456
167	91	454
168	92	452
169	92	450
170	92	448
171	92	446
172	92	443
173	93	441
174	93	439
175	93	437
176	93	435
177	93	433
178	94	431
179	94	429
180	94	427
181	94	425
182	94	423
183	95	421
184	95	419
185	95	417
186	95	416
187	95	414
188	96	412
189	96	410
190	96	408
191	96	406
192	96	405
193	97	403
194	97	401
195	97	399
196	97	398
197	97	396
198	98	394
199	98	393
200	98	391
201	98	389
202	98	388
203	99	386
204	99	385
205	99	383
206	99	382
207	99	380
208	100	378
209	100	377
210	100	375
211	100	374
212	100	373
213	101	371
214	101	370
215	101	368
216	101	367
217	101	365
218	102	364
219	102	362
220	102	361
221	102	360
222	102	358
223	103	357
224	103	356
225	103	354
226	103	353
227	103	351
228	104	350
229	104	349
230	104	347
231	104	346
232	104	345
233	105	344
234	105	342
235	105	341
236	105	340
237	105	339
238	106	337
239	106	336
240	106	335
241	106	334
242	106	332
243	107	331
244	107	330
245	107	329
246	107	328
247	107	327
248	108	325
249	108	324
250	108	323
251	108	322
252	108	321
253	109	320
254	109	319
255	109	318
256	109	317
257	109	315
258	110	314
259	110	313
260	110	312
261	110	311
262	110	310
263	111	309
264	111	308
265	111	307
266	111	306
267	111	305
268	111	304
269	112	303
270	112	302
271	112	301
272	112	300
273	112	299
274	113	298
275	113	297
276	113	296
277	113	295
278	114	294
279	114	293
280	114	292
281	114	291
282	114	290
283	115	290
284	115	289
285	115	288
286	115	287
287	115	286
288	116	285
289	116	284
290	116	283
291	116	282
292	116	282
293	117	281
294	117	280
295	117	279
296	117	278
297	117	277
298	118	276
299	118	276
300	118	275
301	118	274
302	119	273
303	119	273
304	119	272
305	119	271
306	119	270
307	120	269
308	120	268
309	120	268
310	120	267
311	120	266
312	121	265
313	121	264
314	121	264
315	121	263
316	121	262
317	122	261
318	122	260
319	122	260
320	122	259
321	122	258
322	123	257
323	123	257
324	123	256
325	123	255
326	123	254
327	124	254
328	124	253
329	124	252
330	124	251
331	124	251
332	125	250
333	125	249
334	125	248
335	125	248
336	125	247
337	125	246
338	126	246
339	126	245
340	126	244
341	126	243
342	126	243
343	127	242
344	127	241
345	127	241
346	127	240
347	128	239
348	128	239
349	128	238
350	128	237
351	128	237
352	128	236
353	129	235
354	129	235
355	129	234
356	129	233
357	129	233
358	130	232
359	130	231
360	130	231
361	130	230
362	131	229
363	131	229
364	131	228
365	131	228
366	132	227
367	132	227
368	132	226
369	132	225
370	132	225
371	132	224
372	133	223
373	133	223
374	133	222
375	133	221
376	133	221
377	134	220
378	134	220
379	134	219
380	134	218
381	134	218
382	135	217
383	135	217
384	135	216
385	135	215
386	135	215
387	136	214
388	136	214
389	136	213
390	136	212
391	136	212
392	137	211
393	137	211
394	137	210
395	137	209
396	137	209
397	138	208
398	138	208
399	138	207
400	138	207
401	138	206
402	139	205
403	139	205
404	139	204
405	139	204
406	139	203
407	140	203
408	140	202
409	140	202
410	140	201
411	140	201
412	141	200
413	141	199
414	141	199
415	141	198
416	141	198
417	142	197
418	142	197
419	142	196
420	142	196
421	142	195
422	143	195
423	143	194
424	143	194
425	143	193
426	143	193
427	144	192
